COMPONENT,Site Name,Joint Base,State Terr,Oper Stat,PERIMETER,AREA
Army Guard,NG New Castle Readiness Center/FMS 9,N/A,Pennsylvania,Active,0.37172742,0.0092156
Army Guard,NG Saginaw,N/A,Texas,Active,2.89218953,0.2304504
Army Guard,NG Bremerton,N/A,Washington,Active,1.4761594,0.12644353
Navy Active,Target B-17,N/A,Nevada,Active,38.12624532,85.3415596
Navy Active,Camp Morena,N/A,California,Active,1.32714872,0.09427915
Navy Active,Upper Yard Annapolis,N/A,Maryland,Active,2.80787407,0.25335599
Navy Active,Yankee Target Range,N/A,Texas,Active,8.327782,4.60186446
Army Active,Twin Cities AAP,N/A,Minnesota,Inactive,5.44869563,0.26133082
Army Active,Fort Gordon,N/A,Georgia,Active,49.52881821,86.73309413
Army Active,Camp Mackall,N/A,North Carolina,Active,23.49752201,12.45540982
Army Active,Indiana Army Ammunition Plant,N/A,Indiana,Inactive,6.66736653,2.40291953
MC Active,MCAS Beaufort,N/A,South Carolina,Active,54.03658199,11.89888126
Navy Active,NAVSUPPACT Norfolk NSY,N/A,Virginia,Active,4.439523,0.72651883
Navy Active,Lafayette Rvr Complex,N/A,Virginia,Active,0.70323455,0.03096726
Navy Active,Bangor WA,N/A,Washington,Active,17.15905357,11.39643406
AF Active,Eglin Air Force Auxiliary Field 3 Duke Fld,N/A,Florida,Active,8.31817313,3.04210819
AF Active,Wright-Patt AFB,N/A,Ohio,Active,14.60653863,8.1629264
AF Active,Lackland AFB,Joint Base San Antonio,Texas,Active,13.39987668,4.13361456
Army Guard,NG Sparta Armory,N/A,Illinois,Active,13.35758693,4.11467525
Army Guard,NG MTA Camp Crowder Neosho,N/A,Missouri,Active,17.96236907,6.71082639
Army Guard,NG Hollidaysburg Readiness Center,N/A,Pennsylvania,Active,0.93422328,0.03497157
Army Guard,NG Camp Beauregard,N/A,Louisiana,Active,7.36266735,1.12165463
Army Guard,NG Helena Aviation RC- AASF- C12,N/A,Montana,Active,1.25925768,0.09363348
Army Guard,NG Lansing Joint Forces Readiness Center,N/A,Michigan,Active,1.27272813,0.09081836
Army Guard,NG Camp Perry Joint Training Center,N/A,Ohio,Active,7.49106579,0.80303791
Army Guard,NG Oklahoma Military Department,N/A,Oklahoma,Active,1.75144767,0.08793367
Army Guard,NG Salina KS Training Center,N/A,Kansas,Active,3.26458622,0.08301531
Navy Active,NAVOBSSTA Flagstaff AZ,N/A,Arizona,Active,4.23170158,0.44851887
Navy Active,Target B-16,N/A,Nevada,Active,42.94972842,43.30089688
Navy Active,Barin Field,N/A,Alabama,Active,9.4056082,1.32276048
Navy Active,Old Town Site 1,N/A,California,Active,1.59270899,0.07365039
Navy Active,Broadway Complex,N/A,California,Active,0.68642006,0.02393591
Navy Active,Mission Gorge Rec Area,N/A,California,Active,4.94075137,0.70028492
AF Active,McGuire,Joint Base McGuire - Dix - Lakehurst,New Jersey,Active,12.06451918,4.9862457
Navy Active,Northside Mid-South,N/A,Tennessee,Active,4.78180649,0.64515194
Navy Active,NSWC Carderock Div,N/A,Tennessee,Active,1.4049036,0.10019131
Army Active,Presidio of Monterey,N/A,California,Active,4.35133598,0.61037804
Army Reserve,Fort Buchanan,N/A,Puerto Rico,Active,7.45095832,1.15180283
Navy Active,Fire Fighters School,N/A,Virginia,Active,0.57708348,0.01915213
Navy Active,Magazine Reservoir Naval Magazine,Joint Region Marianas,Guam,Active,0.49320691,0.01601081
AF Active,Arnold,N/A,Tennessee,Active,70.91531259,60.76822985
AF Active,Eglin AFB Site 2 Santa Rosa Island,N/A,Florida,Active,33.25063043,4.97793308
AF Active,Poinsett Range,N/A,South Carolina,Active,22.01892042,19.57179064
AF Active,Whiteman AFB,N/A,Missouri,Active,17.77861534,8.20858883
AF Reserve,Niagara Falls,N/A,New York,Active,7.01311971,0.98617091
AF Active,Cusick Survival Training Site,N/A,Washington,Active,1.93270688,0.11752687
AF Guard,Truax ANGB,N/A,Wisconsin,Active,2.78801687,0.23109196
AF Guard,Ellington Field,N/A,Texas,Active,3.34216296,0.33317385
AF Guard,Lincoln Map,N/A,Nebraska,Active,2.00348056,0.17831156
AF Active,JBSA Sam Houston,Joint Base San Antonio,Texas,Active,16.5269834,4.24911492
Army Guard,NG McConnelsville Training Site,N/A,Ohio,Active,5.21173618,0.70097498
Army Guard,NG St Cloud AASF,N/A,Minnesota,Active,1.13403848,0.08370848
Army Guard,NG Camp Pendleton SMR,N/A,Virginia,Active,4.09268468,0.47905218
Army Guard,NG Jackson Airport Armory,N/A,Tennessee,Active,1.2570883,0.10038864
Navy Active,ALF Cabaniss,N/A,Texas,Active,7.43584124,1.48044362
Navy Active,San Nicolas Island,N/A,California,Active,24.33274484,27.21652316
Navy Active,NAS Whiting Field Milton FL,N/A,Florida,Active,23.80991105,7.13505673
Army Active,Fort Campbell TN,N/A,Tennessee,Active,53.88963469,105.5917408
Army Active,Arlington National Cemetery,N/A,Virginia,Active,5.87883889,0.9728508
Army Reserve,Fort McCoy,N/A,Wisconsin,Active,66.12012551,93.26753841
Army Active,Fort Lesley J McNair,Joint Base Myer - Henderson Hall,District of Columbia,Active,1.94102298,0.16844624
Army Active,Helemano Military Reservation,N/A,Hawaii,Active,2.83538388,0.44207169
Army Active,USA Field Station Kunia,N/A,Hawaii,Active,0.94787148,0.0492424
MC Active,Twentynine Palms,N/A,California,Active,186.6516596,1190.21534
MC Active,MCB Quantico,N/A,Virginia,Active,71.75051871,92.07653203
Navy Active,St Juliens Creek East,N/A,Virginia,Active,2.88709126,0.46936446
Navy Active,Elizabeth Rvr Channel,N/A,Virginia,Active,1.06628139,0.05748192
Navy Active,Naval Support Activity Wash,N/A,District of Columbia,Active,1.43172825,0.11862644
Navy Active,Naval Support Activity Panama City,N/A,Florida,Active,7.04826222,1.0245731
AF Active,Nellis Annex,N/A,Nevada,Active,0.64412064,0.02516764
AF Active,JB Andrews,Joint Base Andrews,Maryland,Active,10.6363054,6.87972183
AF Active,Schriever AFB,N/A,Colorado,Active,11.66857618,8.47225658
AF Active,Charleston Defense Fuel Support Point,Joint Base Charleston,South Carolina,Active,1.37824709,0.06946084
AF Active,Joint Base Charleston Short Stay,Joint Base Charleston,South Carolina,Active,2.12930988,0.09612861
AF Active,Maxwell AFB Gunter Annex,N/A,Alabama,Active,6.02781658,0.59023271
AF Guard,Alpena County Regional Airport,N/A,Michigan,Active,5.81985922,0.85512122
AF Guard,Forbes Field ANG,N/A,Kansas,Active,2.61955479,0.27333547
AF Guard,Kingsley Field Cantonement Site 1,N/A,Oregon,Active,3.28800642,0.24886542
AF Guard,Nashville IAP,N/A,Tennessee,Active,1.5909501,0.13740321
Army Guard,NG Fort Worth - Shoreview,N/A,Texas,Active,1.80601272,0.12970376
Army Guard,NG Muscatatuck Urban Training Center,N/A,Indiana,Active,6.72174385,1.50150396
Army Guard,NG MTA Ft Wm Henry Harrison,N/A,Montana,Active,21.55054196,10.25194574
Army Guard,NG Ayer,N/A,Massachusetts,Active,1.38868892,0.10220823
Army Guard,NG Macon TS,N/A,Missouri,Active,22.09688508,4.80757307
Army Guard,NG Johnson City Gray,N/A,Tennessee,Active,1.6389087,0.16765596
Army Guard,NG Muskogee AFRC,N/A,Oklahoma,Active,1.45846706,0.09100438
Army Guard,NG Fort Pickett ARNG MTC,N/A,Virginia,Active,64.16128108,64.30688439
Navy Active,NOLF Choctaw,N/A,Florida,Active,7.86917189,2.26449666
Navy Active,NOLF Evergreen,N/A,Alabama,Active,6.50657585,0.69424386
Navy Active,NAWS China Lake,N/A,California,Active,178.2997675,957.4671923
Army Active,Fort Hood,N/A,Texas,Active,160.7433815,342.6954915
AF Active,Air Force Plant 6,N/A,Georgia,Active,7.6527283,1.18394937
Navy Active,Subase Kings Bay GA,N/A,Georgia,Active,25.59655739,22.11571068
Navy Active,NAS Fallon NV,N/A,Nevada,Active,22.06630679,13.30250948
Army Active,Kawaihae Mil Reserve,N/A,Hawaii,Active,2.68212787,0.03805322
Army Active,Fort Belvoir,N/A,Virginia,Active,28.7203872,13.00441116
Navy Active,Naval Support Activity Crane,N/A,Indiana,Active,66.85914639,96.85457877
Navy Active,Naval Magazine,Joint Region Marianas,Guam,Active,18.03170231,13.49802508
AF Active,Tinker AFB,N/A,Oklahoma,Active,18.41947701,6.94229693
AF Active,Ellsworth AFB Site 2,N/A,South Dakota,Active,9.40315679,2.00127812
AF Reserve,Homestead ARB,N/A,Florida,Active,13.02372709,4.60854128
AF Active,Lackland Training Annex,Joint Base San Antonio,Texas,Active,10.01285806,6.20617017
AF Active,Yukon Weapons Range,N/A,Alaska,Active,27.83782608,34.78530348
AF Guard,Jacksonville IAP,N/A,Florida,Active,3.48761262,0.53484249
AF Guard,Site 1 Cantonement Area,N/A,Ohio,Active,2.29287661,0.11022888
AF Guard,Martin State Airport,N/A,Maryland,Active,2.79530963,0.27366956
AF Guard,Salt Lake City IAP,N/A,Utah,Active,2.10467974,0.21874313
Army Guard,NG Carville Gillis Long Center,N/A,Louisiana,Active,3.02134805,0.55599906
Army Guard,NG Springfield AVCRAD (New),N/A,Missouri,Active,1.69441782,0.16758983
Army Guard,NG Alcantra Armory Complex,N/A,Alaska,Active,3.02871493,0.50008399
Army Guard,NG Camp Adair Corvallis,N/A,Oregon,Active,3.53887273,0.82438456
